"Synthetic/composite Extraterrestrial Spectrum by Chris Gueymard, May 2003"	
"Reference: C. Gueymard, ""THE SUN�S TOTAL AND SPECTRAL IRRADIANCE FOR SOLAR ENERGY APPLICATIONS AND SOLAR RADIATION MODELS"", submitted to Solar Energy, 2003."	
"1st column: wavelength (nm) in vacuum below 280 nm, in air above 280 nm"	
2nd column: irradiance (W/m2 nm)	
Number of wavelengths: 2460	
"Resolution: variable, approximately equal to spectral step"	
Total irradiance (solar constant)=1366.1 W/m2	
Wavelength (nm)	Irradiance W/(m2 nm)
389.5	1.298E+00
390	1.301E+00
390.5	1.196E+00
391	1.406E+00
391.5	1.433E+00
392	1.206E+00
392.5	1.078E+00
393	5.989E-01
393.5	4.347E-01
394	8.837E-01
394.5	1.122E+00
395	1.368E+00
395.5	1.389E+00
396	1.203E+00
396.5	7.019E-01
397	5.261E-01
397.5	1.069E+00
398	1.497E+00
398.5	1.546E+00
399	1.670E+00
399.5	1.663E+00
400	1.727E+00
401	1.769E+00
402	1.861E+00
403	1.763E+00
404	1.733E+00
405	1.730E+00
406	1.697E+00
407	1.665E+00
408	1.729E+00
409	1.847E+00
410	1.610E+00
411	1.740E+00
412	1.863E+00
413	1.816E+00
414	1.834E+00
415	1.834E+00
416	1.861E+00
417	1.813E+00
418	1.777E+00
419	1.797E+00
420	1.787E+00
421	1.866E+00
422	1.771E+00
423	1.727E+00
424	1.825E+00
425	1.818E+00
426	1.765E+00
427	1.730E+00
428	1.684E+00
429	1.590E+00
430	1.389E+00
431	1.377E+00
432	1.773E+00
433	1.780E+00
434	1.652E+00
435	1.725E+00
436	1.938E+00
437	1.906E+00
438	1.732E+00
439	1.795E+00
440	1.848E+00
441	1.910E+00
442	2.046E+00
443	1.995E+00
444	2.034E+00
445	1.991E+00
446	1.894E+00
447	2.042E+00
448	2.077E+00
449	2.077E+00
450	2.131E+00
451	2.208E+00
452	2.125E+00
453	1.996E+00
454	2.079E+00
455	2.091E+00
456	2.138E+00
457	2.172E+00
458	2.100E+00
459	2.086E+00
460	2.092E+00
461	2.138E+00
462	2.150E+00
463	2.136E+00
464	2.095E+00
465	2.063E+00
466	2.079E+00
467	2.043E+00
468	2.066E+00
469	2.076E+00
470	2.010E+00
471	2.006E+00
472	2.114E+00
473	2.087E+00
474	2.094E+00
475	2.116E+00
476	2.058E+00
477	2.067E+00
478	2.121E+00
479	2.103E+00
480	2.102E+00
481	2.135E+00
482	2.140E+00
483	2.108E+00
484	2.062E+00
485	1.962E+00
486	1.712E+00
487	1.791E+00
488	1.965E+00
489	1.973E+00
490	2.072E+00
491	2.033E+00
492	1.919E+00
493	1.981E+00
494	2.000E+00
495	2.016E+00
496	2.028E+00
497	2.059E+00
498	1.962E+00
499	1.988E+00
500	1.932E+00
501	1.899E+00
502	1.878E+00
503	1.961E+00
504	1.933E+00
505	1.983E+00
506	2.048E+00
507	1.948E+00
508	1.881E+00
509	1.929E+00
510	1.915E+00
511	1.962E+00
512	1.981E+00
513	1.874E+00
514	1.859E+00
515	1.840E+00
516	1.836E+00
517	1.630E+00
518	1.714E+00
519	1.798E+00
520	1.864E+00
521	1.882E+00
522	1.885E+00
523	1.852E+00
524	1.921E+00
525	1.948E+00
526	1.862E+00
527	1.758E+00
528	1.862E+00
529	1.965E+00
530	1.938E+00
531	1.968E+00
532	1.901E+00
533	1.845E+00
534	1.898E+00
535	1.937E+00
536	1.953E+00
537	1.874E+00
538	1.906E+00
539	1.890E+00
540	1.813E+00
541	1.831E+00
542	1.891E+00
543	1.866E+00
544	1.903E+00
545	1.896E+00
546	1.909E+00
547	1.904E+00
548	1.879E+00
549	1.883E+00
550	1.905E+00
551	1.881E+00
552	1.894E+00
553	1.861E+00
554	1.906E+00
555	1.911E+00
556	1.887E+00
557	1.830E+00
558	1.819E+00
559	1.788E+00
560	1.812E+00
561	1.838E+00
562	1.828E+00
563	1.882E+00
564	1.834E+00
565	1.821E+00
566	1.797E+00
567	1.835E+00
568	1.829E+00
569	1.807E+00
570	1.803E+00
571	1.786E+00
572	1.843E+00
573	1.865E+00
574	1.862E+00
575	1.832E+00
576	1.815E+00
577	1.833E+00
578	1.800E+00
579	1.798E+00
580	1.818E+00
581	1.817E+00
582	1.842E+00
583	1.839E+00
584	1.850E+00
585	1.802E+00
586	1.765E+00
587	1.810E+00
588	1.793E+00
589	1.646E+00
590	1.716E+00
591	1.782E+00
592	1.780E+00
593	1.784E+00
594	1.781E+00
595	1.752E+00
596	1.779E+00
597	1.767E+00
598	1.751E+00
599	1.746E+00
600	1.737E+00
601	1.715E+00
602	1.702E+00
603	1.727E+00
604	1.754E+00
605	1.743E+00
606	1.732E+00
607	1.745E+00
608	1.722E+00
609	1.722E+00
610	1.706E+00
611	1.713E+00
612	1.706E+00
613	1.683E+00
614	1.657E+00
615	1.690E+00
616	1.632E+00
617	1.627E+00
618	1.688E+00
619	1.670E+00
620	1.681E+00
621	1.686E+00
622	1.670E+00
623	1.648E+00
624	1.617E+00
625	1.613E+00
626	1.638E+00
627	1.665E+00
628	1.663E+00
629	1.663E+00
630	1.628E+00
631	1.629E+00
632	1.604E+00
633	1.638E+00
634	1.611E+00
635	1.631E+00
636	1.603E+00
637	1.625E+00
638	1.633E+00
639	1.611E+00
640	1.591E+00
641	1.587E+00
642	1.576E+00
643	1.597E+00
644	1.588E+00
645	1.593E+00
646	1.569E+00
647	1.577E+00
648	1.591E+00
649	1.560E+00
650	1.529E+00
651	1.586E+00
652	1.568E+00
653	1.566E+00
654	1.543E+00
655	1.509E+00
656	1.321E+00
657	1.356E+00
658	1.509E+00
659	1.513E+00
660	1.517E+00
661	1.527E+00
662	1.537E+00
663	1.504E+00
664	1.512E+00
665	1.506E+00
666	1.504E+00
667	1.499E+00
668	1.496E+00
669	1.517E+00
670	1.509E+00
671	1.507E+00
672	1.493E+00
673	1.514E+00
674	1.507E+00
675	1.492E+00
676	1.501E+00
677	1.485E+00
678	1.488E+00
679	1.463E+00
680	1.474E+00
681	1.464E+00
682	1.462E+00
683	1.459E+00
684	1.452E+00
685	1.463E+00
686	1.456E+00
687	1.474E+00
688	1.457E+00
689	1.454E+00
690	1.444E+00
691	1.433E+00
692	1.420E+00
693	1.422E+00
694	1.426E+00
695	1.426E+00
696	1.438E+00
697	1.432E+00
698	1.412E+00
699	1.431E+00
700	1.413E+00
701	1.410E+00
702	1.402E+00
703	1.408E+00
704	1.422E+00
705	1.424E+00
706	1.410E+00
707	1.407E+00
708	1.410E+00
709	1.396E+00
710	1.403E+00
711	1.396E+00
712	1.385E+00
713	1.377E+00
714	1.382E+00
715	1.356E+00
716	1.363E+00
717	1.382E+00
718	1.360E+00
719	1.335E+00
720	1.361E+00
721	1.346E+00
722	1.345E+00
723	1.357E+00
724	1.346E+00
725	1.337E+00
726	1.339E+00
727	1.348E+00
728	1.324E+00
729	1.297E+00
730	1.329E+00
731	1.319E+00
732	1.322E+00
733	1.318E+00
734	1.332E+00
735	1.313E+00
736	1.307E+00
737	1.317E+00
738	1.295E+00
739	1.273E+00
740	1.292E+00
741	1.271E+00
742	1.265E+00
743	1.295E+00
744	1.287E+00
745	1.284E+00
746	1.290E+00
747	1.292E+00
748	1.289E+00
749	1.274E+00
750	1.273E+00
751	1.260E+00
752	1.265E+00
753	1.271E+00
754	1.274E+00
755	1.267E+00
756	1.266E+00
757	1.268E+00
758	1.253E+00
759	1.249E+00
760	1.249E+00
761	1.245E+00
762	1.223E+00
763	1.246E+00
764	1.239E+00
765	1.226E+00
766	1.176E+00
767	1.216E+00
768	1.221E+00
769	1.209E+00
770	1.209E+00
771	1.201E+00
772	1.198E+00
773	1.205E+00
774	1.198E+00
775	1.188E+00
776	1.202E+00
777	1.186E+00
778	1.179E+00
779	1.180E+00
780	1.173E+00
781	1.174E+00
782	1.181E+00
783	1.160E+00
784	1.165E+00
785	1.158E+00
786	1.172E+00
787	1.167E+00
788	1.161E+00
789	1.167E+00
790	1.165E+00
791	1.149E+00
792	1.138E+00
793	1.123E+00
794	1.110E+00
795	1.136E+00
796	1.140E+00
797	1.139E+00
798	1.138E+00
799	1.139E+00
800	1.129E+00
801	1.132E+00
802	1.127E+00
803	1.122E+00
804	1.120E+00
805	1.106E+00
806	1.121E+00
807	1.112E+00
808	1.110E+00
809	1.101E+00
810	1.104E+00
811	1.115E+00
812	1.116E+00
813	1.118E+00
814	1.111E+00
815	1.105E+00
816	1.103E+00
817	1.099E+00
818	1.077E+00
819	1.071E+00
820	1.064E+00
821	1.063E+00
822	1.065E+00
823	1.076E+00
824	1.073E+00
825	1.070E+00
826	1.078E+00
827	1.076E+00
828	1.070E+00
829	1.063E+00
830	1.060E+00
831	1.054E+00
832	1.057E+00
833	1.024E+00
834	1.029E+00
835	1.045E+00
836	1.050E+00
837	1.045E+00
838	1.029E+00
839	1.026E+00
840	1.043E+00
841	1.037E+00
842	1.028E+00
843	1.016E+00
844	1.009E+00
845	1.033E+00
846	1.027E+00
847	1.004E+00
848	1.003E+00
849	9.749E-01
850	9.330E-01
851	9.939E-01
852	9.844E-01
853	9.427E-01
854	8.179E-01
855	8.930E-01
856	9.783E-01
857	9.964E-01
858	9.905E-01
859	9.894E-01
860	9.896E-01
861	9.847E-01
862	9.994E-01
863	1.023E+00
864	9.716E-01
865	9.627E-01
866	8.656E-01
867	9.032E-01
868	9.827E-01
869	9.621E-01
870	9.894E-01
871	9.760E-01
872	9.723E-01
873	9.703E-01
874	9.587E-01
875	9.395E-01
876	9.496E-01
877	9.588E-01
878	9.702E-01
879	9.550E-01
880	9.344E-01
881	9.231E-01
882	9.436E-01
883	9.448E-01
884	9.410E-01
885	9.480E-01
886	9.126E-01
887	9.158E-01
888	9.357E-01
889	9.360E-01
890	9.387E-01
891	9.316E-01
892	9.167E-01
893	9.112E-01
894	9.134E-01
895	9.098E-01
896	9.232E-01
897	9.093E-01
898	9.131E-01
899	9.104E-01
900	8.896E-01
901	8.590E-01
902	8.678E-01
903	9.008E-01
904	9.098E-01
905	9.072E-01
906	8.862E-01
907	8.934E-01
908	8.777E-01
909	8.598E-01
910	8.768E-01
911	8.722E-01
912	8.734E-01
913	8.926E-01
914	8.820E-01
915	8.747E-01
916	8.785E-01
917	8.661E-01
918	8.703E-01
919	8.733E-01
920	8.626E-01
921	8.410E-01
922	8.378E-01
923	8.148E-01
924	8.406E-01
925	8.404E-01
926	8.297E-01
927	8.561E-01
928	8.575E-01
929	8.461E-01
930	8.505E-01
931	8.505E-01
932	8.460E-01
933	8.492E-01
934	8.471E-01
935	8.371E-01
936	8.330E-01
937	8.389E-01
938	8.382E-01
939	8.322E-01
940	8.224E-01
941	7.925E-01
942	8.090E-01
943	8.189E-01
944	8.079E-01
945	8.160E-01
946	8.189E-01
947	8.207E-01
948	8.214E-01
949	8.207E-01
950	8.149E-01
951	8.105E-01
952	8.112E-01
953	8.038E-01
954	7.792E-01
955	7.660E-01
956	7.984E-01
957	7.922E-01
958	8.008E-01
959	8.016E-01
960	7.903E-01
961	7.941E-01
962	7.873E-01
963	7.834E-01
964	7.831E-01
965	7.800E-01
966	7.737E-01
967	7.804E-01
968	7.793E-01
969	7.788E-01
970	7.780E-01
971	7.756E-01
972	7.774E-01
973	7.692E-01
974	7.598E-01
975	7.690E-01
976	7.647E-01
977	7.630E-01
978	7.619E-01
979	7.555E-01
980	7.594E-01
981	7.635E-01
982	7.609E-01
983	7.554E-01
984	7.544E-01
985	7.550E-01
986	7.494E-01
987	7.479E-01
988	7.489E-01
989	7.371E-01
990	7.402E-01
991	7.415E-01
992	7.438E-01
993	7.418E-01
994	7.418E-01
995	7.385E-01
996	7.379E-01
997	7.376E-01
998	7.351E-01
999	7.317E-01
1000	7.307E-01
1001	7.352E-01
1002	7.320E-01
1003	7.233E-01
1004	7.100E-01
1005	6.779E-01
1006	7.078E-01
1007	7.208E-01
1008	7.203E-01
1009	7.199E-01
1010	7.188E-01
1011	7.167E-01
1012	7.141E-01
1013	7.141E-01
1014	7.091E-01
1015	7.050E-01
1016	7.023E-01
1017	7.045E-01
1018	6.999E-01
1019	6.914E-01
1020	6.972E-01
1021	6.951E-01
1022	6.920E-01
1023	7.000E-01
1024	6.976E-01
1025	6.971E-01
1026	6.957E-01
1027	6.939E-01
1028	6.930E-01
1029	6.853E-01
1030	6.876E-01
1031	6.859E-01
1032	6.831E-01
1033	6.730E-01
1034	6.728E-01
1035	6.749E-01
1036	6.791E-01
1037	6.678E-01
1038	6.710E-01
1039	6.710E-01
1040	6.684E-01
1041	6.716E-01
1042	6.670E-01
1043	6.652E-01
1044	6.679E-01
1045	6.592E-01
1046	6.523E-01
1047	6.586E-01
1048	6.627E-01
1049	6.608E-01
1050	6.583E-01
1051	6.580E-01
1052	6.559E-01
1053	6.514E-01
1054	6.536E-01
1055	6.549E-01
1056	6.536E-01
1057	6.524E-01
1058	6.372E-01
1059	6.389E-01
1060	6.384E-01
1061	6.382E-01
1062	6.426E-01
1063	6.370E-01
1064	6.442E-01
1065	6.419E-01
1066	6.274E-01
1067	6.361E-01
1068	6.240E-01
1069	6.036E-01
1070	6.262E-01
1071	6.297E-01
1072	6.272E-01
1073	6.168E-01
1074	6.265E-01
1075	6.132E-01
1076	6.271E-01
1077	6.270E-01
1078	6.177E-01
1079	6.143E-01
1080	6.229E-01
1081	6.057E-01
1082	6.003E-01
1083	5.994E-01
1084	6.140E-01
1085	6.176E-01
1086	6.100E-01
1087	5.893E-01
1088	6.024E-01
1089	6.015E-01
1090	6.095E-01
1091	6.065E-01
1092	6.009E-01
1093	5.811E-01
1094	5.568E-01
